date,TSX,CAC,DAX,Eurostoxx50,NIKKEI225,FTSE100,SP500,IBOVESPA,CAD,EUR,EUR,EUR,JPY,GBP,USD,BRL
04.01.00,8202.6,5672.02,6586.95,4657.83,19002.86,6665.9,1399.42,15851,0.6884,1.0296,1.0296,1.0296,0.009685,1.636,1,0.5403
05.01.00,8119.42,5479.7,6502.07,4541.75,18542.55,6535.9,1402.11,16245.14,0.6897,1.0321,1.0321,1.0321,0.009604,1.6426,1,0.5438
06.01.00,8114.24,5450.11,6474.92,4500.69,18168.27,6447.2,1403.45,16106.89,0.685,1.0328,1.0328,1.0328,0.009503,1.6474,1,0.543
07.01.00,8429.42,5539.61,6780.96,4648.27,18193.41,6504.8,1441.47,16309.15,0.6869,1.0295,1.0295,1.0295,0.009493,1.6393,1,0.5474
08.01.00,8429.42,5539.61,6780.96,4648.27,18193.41,6504.8,1441.47,16309.15,0.6869,1.0295,1.0295,1.0295,0.009493,1.6393,1,0.5474
09.01.00,8429.42,5539.61,6780.96,4648.27,18193.41,6504.8,1441.47,16309.15,0.6869,1.0295,1.0295,1.0295,0.009493,1.6393,1,0.5474
10.01.00,8602.5,5646.12,6925.52,4714.03,18193.41,6607.7,1457.6,17022.13,0.6869,1.0256,1.0256,1.0256,0.009514,1.6374,1,0.551
11.01.00,8442.61,5613.9,6891.25,4671.5,18850.92,6518.9,1438.56,16572.72,0.6861,1.0336,1.0336,1.0336,0.009437,1.6475,1,0.5487
12.01.00,8359.96,5582.5,6912.81,4649.3,18677.42,6532.8,1432.25,16616.87,0.6878,1.0309,1.0309,1.0309,0.009451,1.6466,1,0.5471
13.01.00,8417.94,5633.24,6955.98,4688.35,18833.29,6531.5,1449.68,17298.07,0.6893,1.0258,1.0258,1.0258,0.009423,1.6472,1,0.5515
14.01.00,8357.46,5787.44,7173.22,4829.36,18956.55,6658.2,1465.15,17657.95,0.6897,1.0122,1.0122,1.0122,0.009446,1.6313,1,0.5543
15.01.00,8357.46,5787.44,7173.22,4829.36,18956.55,6658.2,1465.15,17657.95,0.6897,1.0122,1.0122,1.0122,0.009446,1.6313,1,0.5543
16.01.00,8357.46,5787.44,7173.22,4829.36,18956.55,6658.2,1465.15,17657.95,0.6897,1.0122,1.0122,1.0122,0.009446,1.6313,1,0.5543
17.01.00,8479.27,5842.78,7258.9,4884.5,19437.23,6669.5,1465.15,18053.22,0.6899,1.0122,1.0122,1.0122,0.009534,1.6333,1,0.5573
18.01.00,8589.65,5672.95,7072.12,4761,19196.57,6504.6,1455.14,17903.23,0.6894,1.0137,1.0137,1.0137,0.009462,1.6379,1,0.5579
19.01.00,8635.07,5649.46,7091.04,4768.37,18897.75,6445.4,1455.9,17470.24,0.6887,1.0133,1.0133,1.0133,0.009496,1.645,1,0.5584
20.01.00,8682.93,5709.74,7112.66,4778.71,19008.01,6348.7,1445.57,17176.73,0.6913,1.0168,1.0168,1.0168,0.009484,1.6537,1,0.5612
21.01.00,8634.5,5681.32,6992.75,4719.29,18878.09,6346.3,1441.36,17034.21,0.6937,1.0098,1.0098,1.0098,0.009555,1.6487,1,0.5687
22.01.00,8634.5,5681.32,6992.75,4719.29,18878.09,6346.3,1441.36,17034.21,0.6937,1.0098,1.0098,1.0098,0.009555,1.6487,1,0.5687
23.01.00,8634.5,5681.32,6992.75,4719.29,18878.09,6346.3,1441.36,17034.21,0.6937,1.0098,1.0098,1.0098,0.009555,1.6487,1,0.5687
24.01.00,8458.75,5690.86,6931.99,4718.76,19056.71,6379.8,1401.53,16971.73,0.6926,1.0072,1.0072,1.0072,0.009475,1.6531,1,0.5639
25.01.00,8505.48,5597.5,6809.64,4653.61,18895.53,6274.1,1410.03,16971.73,0.6962,1.0009,1.0009,1.0009,0.009432,1.6452,1,0.5623
26.01.00,8582.57,5646.32,6969.37,4721.03,19111.19,6375.6,1404.09,17105.26,0.6946,1.0019,1.0019,1.0019,0.00946,1.6403,1,0.5622
27.01.00,8645.84,5688.35,7126.13,4786.82,19209.72,6441,1398.56,17081.16,0.697,0.9882,0.9882,0.9882,0.009509,1.6396,1,0.5617
28.01.00,8390.4,5731.05,7066.6,4781.94,19434.78,6375.6,1360.16,16734.39,0.6914,0.9747,0.9747,0.9747,0.009335,1.6201,1,0.5559
29.01.00,8390.4,5731.05,7066.6,4781.94,19434.78,6375.6,1360.16,16734.39,0.6914,0.9747,0.9747,0.9747,0.009335,1.6201,1,0.5559
30.01.00,8390.4,5731.05,7066.6,4781.94,19434.78,6375.6,1360.16,16734.39,0.6914,0.9747,0.9747,0.9747,0.009335,1.6201,1,0.5559
31.01.00,8481.11,5659.81,6835.6,4684.48,19539.7,6268.5,1394.46,16388.27,0.6907,0.9707,0.9707,0.9707,0.009313,1.6162,1,0.5605
01.02.00,8535.26,5773.42,7050.46,4792.04,19423.38,6290.9,1409.28,16522.2,0.6903,0.9711,0.9711,0.9711,0.00927,1.615,1,0.5605
02.02.00,8769.5,5946.86,7171.95,4902.12,19578.91,6302.8,1409.12,16868.46,0.6961,0.9765,0.9765,0.9765,0.009244,1.6088,1,0.5599
03.02.00,8894.39,6149.67,7354.26,5046.12,19786.42,6324.3,1424.97,17457.12,0.6935,0.9894,0.9894,0.9894,0.009292,1.5972,1,0.5607
04.02.00,9209.2,6275.72,7444.61,5119.79,19763.13,6185,1424.37,17932.47,0.6941,0.9832,0.9832,0.9832,0.009329,1.5918,1,0.5656
05.02.00,9209.2,6275.72,7444.61,5119.79,19763.13,6185,1424.37,17932.47,0.6941,0.9832,0.9832,0.9832,0.009329,1.5918,1,0.5656
06.02.00,9209.2,6275.72,7444.61,5119.79,19763.13,6185,1424.37,17932.47,0.6941,0.9832,0.9832,0.9832,0.009329,1.5918,1,0.5656
07.02.00,9155.95,6203.58,7296.32,5041.08,19945.43,6118.6,1424.24,18125.6,0.6903,0.9815,0.9815,0.9815,0.009207,1.598,1,0.5653
08.02.00,9300.77,6297.66,7549.88,5176.17,19868.88,6285.8,1441.72,18685.58,0.6924,0.9855,0.9855,0.9855,0.009138,1.6113,1,0.5667
09.02.00,9255.22,6271.6,7629.11,5191.79,20007.77,6315.4,1411.7,18361.39,0.6925,0.9942,0.9942,0.9942,0.009192,1.6169,1,0.5654
10.02.00,9321,6207.52,7709.27,5174.35,19710.02,6279.8,1416.83,18603.81,0.6905,0.9854,0.9854,0.9854,0.00916,1.6097,1,0.5659
11.02.00,9156.7,6287.01,7611.55,5195.67,19710.02,6193.3,1387.12,18083.46,0.6895,0.9875,0.9875,0.9875,0.00919,1.5936,1,0.5655
12.02.00,9156.7,6287.01,7611.55,5195.67,19710.02,6193.3,1387.12,18083.46,0.6895,0.9875,0.9875,0.9875,0.00919,1.5936,1,0.5655
13.02.00,9156.7,6287.01,7611.55,5195.67,19710.02,6193.3,1387.12,18083.46,0.6895,0.9875,0.9875,0.9875,0.00919,1.5936,1,0.5655
14.02.00,9314.54,6268.32,7644.8,5166.08,19556.46,6068.6,1389.94,17819.01,0.6863,0.9783,0.9783,0.9783,0.009182,1.588,1,0.5643
15.02.00,9356.06,6092.63,7396.13,5043.33,19367.83,6005.2,1402.05,17920.73,0.6868,0.9815,0.9815,0.9815,0.009157,1.596,1,0.5631
16.02.00,9428.61,6046.27,7490.32,5063.73,19599.18,6147.4,1387.67,18112.47,0.6884,0.9863,0.9863,0.9863,0.009139,1.6077,1,0.5637
17.02.00,9463.54,6154.96,7580.53,5114.47,19791.4,6209.3,1388.26,17979.41,0.6893,0.9878,0.9878,0.9878,0.009045,1.609,1,0.5647
18.02.00,9295.51,6062.72,7573.78,5079.59,19789.03,6165,1346.09,17625.02,0.6893,0.9839,0.9839,0.9839,0.009011,1.6013,1,0.5628
19.02.00,9295.51,6062.72,7573.78,5079.59,19789.03,6165,1346.09,17625.02,0.6893,0.9839,0.9839,0.9839,0.009011,1.6013,1,0.5628
20.02.00,9295.51,6062.72,7573.78,5079.59,19789.03,6165,1346.09,17625.02,0.6893,0.9839,0.9839,0.9839,0.009011,1.6013,1,0.5628
21.02.00,9231.16,5967.28,7590.53,5033.33,19543.75,6081.6,1346.09,17699.76,0.687,0.9877,0.9877,0.9877,0.008988,1.6005,1,0.5623
22.02.00,9194.86,5963.31,7607.94,5024.05,19390.58,6014.7,1352.17,17489.33,0.684,1.0038,1.0038,1.0038,0.009032,1.6126,1,0.5599
23.02.00,9314.96,6031.25,7698.97,5086,19519.55,6144.1,1360.69,17833.39,0.6848,1.0036,1.0036,1.0036,0.009007,1.6039,1,0.5607
24.02.00,9214.18,6078.78,7640.53,5117.41,19571.44,6086.7,1353.43,17775.79,0.688,0.992,0.992,0.992,0.00899,1.6003,1,0.5628
25.02.00,9141.17,6188.64,7738.68,5208.87,19817.88,6198,1333.36,17786.82,0.6909,0.9749,0.9749,0.9749,0.009061,1.5953,1,0.5637
26.02.00,9141.17,6188.64,7738.68,5208.87,19817.88,6198,1333.36,17786.82,0.6909,0.9749,0.9749,0.9749,0.009061,1.5953,1,0.5637
27.02.00,9141.17,6188.64,7738.68,5208.87,19817.88,6198,1333.36,17786.82,0.6909,0.9749,0.9749,0.9749,0.009061,1.5953,1,0.5637
28.02.00,9223.42,6102.73,7587.13,5126.33,19720.1,6099.6,1348.05,17542.7,0.6888,0.9709,0.9709,0.9709,0.009122,1.5958,1,0.5628
29.02.00,9128.99,6190.96,7644.55,5182.62,19959.52,6232.6,1366.42,17660.2,0.6896,0.9642,0.9642,0.9642,0.009067,1.5792,1,0.5661
01.03.00,9411.58,6256.32,7727.93,5235.14,20081.67,6364.9,1379.19,17953.01,0.6898,0.9727,0.9727,0.9727,0.009332,1.5854,1,0.5672
02.03.00,9516.06,6477.55,7945.77,5406.37,20065.11,6432.1,1381.76,18015.5,0.6864,0.9656,0.9656,0.9656,0.009283,1.5766,1,0.5693
03.03.00,9462.9,6514.11,7960.03,5450.22,19927.54,6487.5,1409.17,18631.73,0.6895,0.9586,0.9586,0.9586,0.009268,1.5778,1,0.5731
04.03.00,9462.9,6514.11,7960.03,5450.22,19927.54,6487.5,1409.17,18631.73,0.6895,0.9586,0.9586,0.9586,0.009268,1.5778,1,0.5731
05.03.00,9462.9,6514.11,7960.03,5450.22,19927.54,6487.5,1409.17,18631.73,0.6895,0.9586,0.9586,0.9586,0.009268,1.5778,1,0.5731
06.03.00,9580.87,6545.98,7975.78,5464.43,19796.35,6567.8,1391.28,18631.73,0.6881,0.9586,0.9586,0.9586,0.009301,1.5749,1,0.573
07.03.00,9425.48,6441.85,8064.97,5426.36,19944.24,6466.5,1355.62,18631.73,0.6872,0.9584,0.9584,0.9584,0.009418,1.5804,1,0.5732
08.03.00,9281.14,6344.97,7987,5364.52,19766.8,6411.2,1366.7,18282.93,0.6868,0.961,0.961,0.961,0.009334,1.5817,1,0.5744
09.03.00,9413.67,6423.43,7949.15,5352.88,19662.33,6532.1,1401.69,18650.46,0.6862,0.9669,0.9669,0.9669,0.009395,1.5827,1,0.5768
10.03.00,9487.1,6510.28,7975.95,5416.81,19750.4,6568.7,1395.07,18280.35,0.6862,0.9637,0.9637,0.9637,0.009403,1.5765,1,0.5731
11.03.00,9487.1,6510.28,7975.95,5416.81,19750.4,6568.7,1395.07,18280.35,0.6862,0.9637,0.9637,0.9637,0.009403,1.5765,1,0.5731
12.03.00,9487.1,6510.28,7975.95,5416.81,19750.4,6568.7,1395.07,18280.35,0.6862,0.9637,0.9637,0.9637,0.009403,1.5765,1,0.5731
13.03.00,9461.57,6336.93,7693.85,5254.41,19189.93,6466.9,1383.62,17594.82,0.6842,0.9642,0.9642,0.9642,0.009476,1.5792,1,0.5732
14.03.00,9393.83,6350.35,7650.05,5258.32,19141.84,6487.1,1359.15,17221.88,0.6826,0.9686,0.9686,0.9686,0.009441,1.5776,1,0.5755
15.03.00,9293.61,6188.94,7414.46,5083.15,19078.6,6447,1392.15,17381.6,0.6816,0.9669,0.9669,0.9669,0.009463,1.5732,1,0.5749
16.03.00,9488.04,6258.53,7583.96,5175.23,19253.23,6557.2,1458.47,17642.22,0.6787,0.9696,0.9696,0.9696,0.009486,1.5771,1,0.575
17.03.00,9528.81,6304.28,7710.92,5231.35,19566.32,6558,1464.47,17511.24,0.6806,0.9721,0.9721,0.9721,0.00937,1.5748,1,0.575
18.03.00,9528.81,6304.28,7710.92,5231.35,19566.32,6558,1464.47,17511.24,0.6806,0.9721,0.9721,0.9721,0.00937,1.5748,1,0.575
19.03.00,9528.81,6304.28,7710.92,5231.35,19566.32,6558,1464.47,17511.24,0.6806,0.9721,0.9721,0.9721,0.00937,1.5748,1,0.575
20.03.00,9568.33,6352.51,7872.38,5286.71,19566.32,6624.5,1456.63,17525.59,0.6807,0.9728,0.9728,0.9728,0.009408,1.5689,1,0.5757
21.03.00,9651.4,6320.87,7807.93,5266.23,19602.36,6617.9,1493.87,18342.79,0.6805,0.9615,0.9615,0.9615,0.009361,1.5717,1,0.5762
22.03.00,9871.55,6279.29,7798.62,5268.35,19733.59,6609.6,1500.64,18314,0.68,0.961,0.961,0.961,0.009338,1.5795,1,0.5779
23.03.00,9990.13,6268.31,7694.78,5259.15,19704.6,6594.6,1527.35,18331.05,0.6809,0.9715,0.9715,0.9715,0.009322,1.5867,1,0.5817
24.03.00,10052.68,6364.26,7932.42,5379.75,19958.08,6738.5,1527.46,18674.53,0.684,0.9779,0.9779,0.9779,0.009357,1.5941,1,0.5772
25.03.00,10052.68,6364.26,7932.42,5379.75,19958.08,6738.5,1527.46,18674.53,0.684,0.9779,0.9779,0.9779,0.009357,1.5941,1,0.5772
26.03.00,10052.68,6364.26,7932.42,5379.75,19958.08,6738.5,1527.46,18674.53,0.684,0.9779,0.9779,0.9779,0.009357,1.5941,1,0.5772
27.03.00,10043.04,6450.85,7892.49,5369.11,20281.03,6687.2,1523.86,18951.48,0.686,0.9672,0.9672,0.9672,0.009365,1.5882,1,0.5709
28.03.00,9922.85,6524.3,7931.93,5426.57,20374.34,6650.1,1507.73,18337.9,0.6879,0.9605,0.9605,0.9605,0.009448,1.5893,1,0.5737
29.03.00,9702.16,6505.48,7864.76,5416.32,20706.65,6598.8,1508.52,18053.36,0.6865,0.9514,0.9514,0.9514,0.009462,1.5936,1,0.5732
30.03.00,9394.02,6313.82,7644.89,5251.97,20441.5,6445.2,1487.92,17646.77,0.6876,0.9613,0.9613,0.9613,0.009482,1.5948,1,0.5716
31.03.00,9462.39,6286.05,7599.39,5249.55,20337.32,6540.2,1498.58,17820.37,0.6902,0.9555,0.9555,0.9555,0.009728,1.5911,1,0.576
01.04.00,9462.39,6286.05,7599.39,5249.55,20337.32,6540.2,1498.58,17820.37,0.6902,0.9555,0.9555,0.9555,0.009728,1.5911,1,0.576
02.04.00,9462.39,6286.05,7599.39,5249.55,20337.32,6540.2,1498.58,17820.37,0.6902,0.9555,0.9555,0.9555,0.009728,1.5911,1,0.576
03.04.00,9374.73,6130.27,7429.22,5118.37,20726.99,6462.1,1505.97,17245.47,0.6893,0.9553,0.9553,0.9553,0.009541,1.5964,1,0.5744
04.04.00,9141.84,6221.94,7522.8,5176.71,20594.93,6427,1494.73,16757.93,0.6885,0.9596,0.9596,0.9596,0.00951,1.5932,1,0.5727
05.04.00,9226.53,6036.94,7330.77,5044.17,20462.77,6379.3,1487.37,16714.37,0.6898,0.9625,0.9625,0.9625,0.009535,1.5847,1,0.5721
06.04.00,9441.27,6224.02,7446.21,5179.96,20223.61,6451.1,1501.34,17146.13,0.6883,0.9584,0.9584,0.9584,0.009545,1.5815,1,0.5727
07.04.00,9465.19,6308.04,7522.2,5259.52,20252.81,6569.9,1516.35,17513.72,0.6858,0.9553,0.9553,0.9553,0.009491,1.5795,1,0.5744
08.04.00,9465.19,6308.04,7522.2,5259.52,20252.81,6569.9,1516.35,17513.72,0.6858,0.9553,0.9553,0.9553,0.009491,1.5795,1,0.5744
09.04.00,9465.19,6308.04,7522.2,5259.52,20252.81,6569.9,1516.35,17513.72,0.6858,0.9553,0.9553,0.9553,0.009491,1.5795,1,0.5744
10.04.00,9460.94,6364.9,7516.95,5282.26,20619.06,6533.4,1504.46,16783.32,0.6838,0.9627,0.9627,0.9627,0.009395,1.5855,1,0.5739
11.04.00,9358.03,6261.42,7442.66,5174.38,20522.52,6379.2,1500.59,16539.35,0.6831,0.9592,0.9592,0.9592,0.009348,1.5856,1,0.5734
12.04.00,9047.67,6238.7,7443.07,5179.28,20833.21,6350.8,1467.17,16323.36,0.6837,0.959,0.959,0.959,0.00945,1.5886,1,0.5692
13.04.00,8965.41,6264.34,7449.06,5181.33,20526.42,6357,1440.51,15500.81,0.6791,0.9524,0.9524,0.9524,0.009446,1.5866,1,0.561
14.04.00,8473.51,6065.71,7214.83,5034.25,20434.68,6178.1,1356.56,14794.34,0.6769,0.9622,0.9622,0.9622,0.009546,1.5868,1,0.5596
15.04.00,8473.51,6065.71,7214.83,5034.25,20434.68,6178.1,1356.56,14794.34,0.6769,0.9622,0.9622,0.9622,0.009546,1.5868,1,0.5596
16.04.00,8473.51,6065.71,7214.83,5034.25,20434.68,6178.1,1356.56,14794.34,0.6769,0.9622,0.9622,0.9622,0.009546,1.5868,1,0.5596
17.04.00,8769.56,6060.54,7187.14,4979.66,19008.64,5994.6,1401.44,14815.68,0.6732,0.9527,0.9527,0.9527,0.009563,1.5805,1,0.5618
18.04.00,9069.5,6147.44,7196.49,5061.9,18969.52,6074,1441.61,15408.4,0.6749,0.9453,0.9453,0.9453,0.009546,1.5771,1,0.5672
19.04.00,9034.01,6166.46,7216.71,5078.69,19086.62,6184.9,1427.47,14926.15,0.6771,0.9402,0.9402,0.9402,0.009537,1.582,1,0.5634
20.04.00,8959.69,6234.51,7157.95,5117.78,18959.32,6241.2,1434.54,15203.21,0.6782,0.9374,0.9374,0.9374,0.009454,1.5793,1,0.5624
21.04.00,8959.69,6234.51,7157.95,5117.78,18252.68,6241.2,1434.54,15203.21,0.6788,0.9385,0.9385,0.9385,0.009453,1.5795,1,0.5624
22.04.00,8959.69,6234.51,7157.95,5117.78,18252.68,6241.2,1434.54,15203.21,0.6788,0.9385,0.9385,0.9385,0.009453,1.5795,1,0.5624
23.04.00,8959.69,6234.51,7157.95,5117.78,18252.68,6241.2,1434.54,15203.21,0.6788,0.9385,0.9385,0.9385,0.009453,1.5795,1,0.5624
24.04.00,8822.48,6234.51,7157.95,5117.78,18480.15,6241.2,1429.86,14794.23,0.6769,0.938,0.938,0.938,0.009453,1.5785,1,0.5577
25.04.00,9108.41,6320.29,7280.51,5158.13,18272.33,6283,1477.44,15400.58,0.6811,0.9208,0.9208,0.9208,0.0094,1.5812,1,0.5587
26.04.00,9378,6390.87,7388.55,5245.11,18134.31,6256.5,1460.99,15446.36,0.678,0.9235,0.9235,0.9235,0.00941,1.5756,1,0.5546
27.04.00,9322.66,6247.86,7221.74,5171.96,18019.17,6179.3,1464.92,15440.11,0.6771,0.9099,0.9099,0.9099,0.009393,1.572,1,0.5534
28.04.00,9347.61,6419.72,7414.68,5303.95,17973.7,6327.4,1452.43,15537.6,0.6757,0.9119,0.9119,0.9119,0.009243,1.5513,1,0.5531
29.04.00,9347.61,6419.72,7414.68,5303.95,17973.7,6327.4,1452.43,15537.6,0.6757,0.9119,0.9119,0.9119,0.009243,1.5513,1,0.5531
30.04.00,9347.61,6419.72,7414.68,5303.95,17973.7,6327.4,1452.43,15537.6,0.6757,0.9119,0.9119,0.9119,0.009243,1.5513,1,0.5531
01.05.00,9527.26,6419.72,7414.68,5303.95,18403.08,6327.4,1468.25,15537.6,0.6759,0.9158,0.9158,0.9158,0.009195,1.5536,1,0.5531
02.05.00,9510.28,6562.41,7555.92,5434.81,18439.36,6373.4,1446.29,15524.13,0.6726,0.91,0.91,0.91,0.009221,1.5604,1,0.5543
03.05.00,9291.31,6435.65,7376.93,5316.94,18439.36,6184.8,1415.1,15108.56,0.6693,0.8948,0.8948,0.8948,0.009169,1.5611,1,0.5507
04.05.00,9414.05,6491.74,7386.71,5306.32,18439.36,6199.6,1409.57,14969.59,0.6685,0.8895,0.8895,0.8895,0.009252,1.5412,1,0.5522
05.05.00,9597.32,6545.76,7530.82,5351.71,18439.36,6238.8,1432.63,15217.86,0.6709,0.897,0.897,0.897,0.009208,1.5303,1,0.5549
06.05.00,9597.32,6545.76,7530.82,5351.71,18439.36,6238.8,1432.63,15217.86,0.6709,0.897,0.897,0.897,0.009208,1.5303,1,0.5549
07.05.00,9597.32,6545.76,7530.82,5351.71,18439.36,6238.8,1432.63,15217.86,0.6709,0.897,0.897,0.897,0.009208,1.5303,1,0.5549
08.05.00,9337.54,6514.42,7408.09,5285.09,18199.96,6216.3,1424.17,14890.96,0.6701,0.8977,0.8977,0.8977,0.009175,1.5332,1,0.5534
09.05.00,9294.39,6369.61,7280.54,5182.73,17844.54,6123.8,1412.14,14581.52,0.6703,0.9075,0.9075,0.9075,0.009152,1.5311,1,0.5516
10.05.00,9097.1,6263.34,7120.86,5065.85,17701.47,6100.6,1383.05,14433.81,0.6697,0.9068,0.9068,0.9068,0.009133,1.5118,1,0.5498
11.05.00,9132.61,6380.13,7259.48,5171.77,16882.46,6245.9,1407.81,14498.54,0.6718,0.9016,0.9016,0.9016,0.009213,1.5035,1,0.548
12.05.00,9211.8,6449.27,7269.28,5238.42,17357.86,6283.5,1420.96,14458.94,0.673,0.9197,0.9197,0.9197,0.009217,1.5202,1,0.5444
13.05.00,9211.8,6449.27,7269.28,5238.42,17357.86,6283.5,1420.96,14458.94,0.673,0.9197,0.9197,0.9197,0.009217,1.5202,1,0.5444
14.05.00,9211.8,6449.27,7269.28,5238.42,17357.86,6283.5,1420.96,14458.94,0.673,0.9197,0.9197,0.9197,0.009217,1.5202,1,0.5444
15.05.00,9281.89,6392.27,7195.15,5182.68,17313.69,6247.7,1452.36,15055.53,0.6725,0.9112,0.9112,0.9112,0.009146,1.5054,1,0.548
16.05.00,9582.03,6557.39,7371.06,5335.02,17551.25,6318.4,1466.04,15360.4,0.6736,0.9003,0.9003,0.9003,0.009122,1.4932,1,0.5495
17.05.00,9552.83,6453.05,7211.51,5230.74,17404.03,6196.2,1447.8,14870.53,0.6677,0.8959,0.8959,0.8959,0.009149,1.4968,1,0.5462
18.05.00,9549.85,6451.97,7181.58,5247.13,17031.63,6232.9,1437.21,14626.69,0.6669,0.8946,0.8946,0.8946,0.009201,1.4835,1,0.5453
19.05.00,9293.14,6196.05,6989.03,5063.46,16858.17,6045.4,1406.95,14326.63,0.6679,0.8975,0.8975,0.8975,0.009346,1.487,1,0.5438
20.05.00,9293.14,6196.05,6989.03,5063.46,16858.17,6045.4,1406.95,14326.63,0.6679,0.8975,0.8975,0.8975,0.009346,1.487,1,0.5438
21.05.00,9293.14,6196.05,6989.03,5063.46,16858.17,6045.4,1406.95,14326.63,0.6679,0.8975,0.8975,0.8975,0.009346,1.487,1,0.5438
22.05.00,9293.14,6094.17,6912.96,4945.17,16386.01,6035.5,1400.72,13891.24,0.6677,0.9031,0.9031,0.9031,0.009332,1.4925,1,0.54
23.05.00,8986.58,6148.56,6927.69,4984.7,16318.73,6086.8,1373.86,13587.16,0.6638,0.9071,0.9071,0.9071,0.00939,1.4769,1,0.5388
24.05.00,9144.16,6027.1,6834.88,4903.92,16044.44,6118.6,1399.05,14166.4,0.6627,0.9044,0.9044,0.9044,0.009111,1.4753,1,0.5435
25.05.00,9043.7,6129.66,6978.87,5018.79,16247.82,6231.1,1381.52,14185.61,0.6654,0.9115,0.9115,0.9115,0.009311,1.4702,1,0.5413
26.05.00,9020.88,6129.15,6938.33,5007.97,16008.14,6216.9,1378.02,14542.26,0.6653,0.9309,0.9309,0.9309,0.009333,1.49,1,0.5444
27.05.00,9020.88,6129.15,6938.33,5007.97,16008.14,6216.9,1378.02,14542.26,0.6653,0.9309,0.9309,0.9309,0.009333,1.49,1,0.5444
28.05.00,9020.88,6129.15,6938.33,5007.97,16008.14,6216.9,1378.02,14542.26,0.6653,0.9309,0.9309,0.9309,0.009333,1.49,1,0.5444
29.05.00,9060.05,6205.13,7016.66,5084.69,16245.44,6216.9,1378.02,14772.63,0.667,0.9266,0.9266,0.9266,0.009346,1.4925,1,0.5441
30.05.00,9344.13,6325.49,7119.26,5156.07,16228.9,6359.6,1422.45,15248.55,0.6643,0.9301,0.9301,0.9301,0.009386,1.4966,1,0.5462
31.05.00,9251.99,6426.26,7109.67,5200.89,16332.45,6359.3,1420.6,14956.61,0.6682,0.938,0.938,0.938,0.009289,1.5014,1,0.5483
01.06.00,9552.24,6599.71,7272.76,5275.2,16694.3,6470.5,1448.81,15450.04,0.6708,0.9312,0.9312,0.9312,0.009215,1.4944,1,0.5498
02.06.00,9747.67,6673.52,7438.95,5428.27,16800.06,6626.4,1477.26,16222.48,0.6771,0.9463,0.9463,0.9463,0.009259,1.5098,1,0.5553
03.06.00,9747.67,6673.52,7438.95,5428.27,16800.06,6626.4,1477.26,16222.48,0.6771,0.9463,0.9463,0.9463,0.009259,1.5098,1,0.5553
04.06.00,9747.67,6673.52,7438.95,5428.27,16800.06,6626.4,1477.26,16222.48,0.6771,0.9463,0.9463,0.9463,0.009259,1.5098,1,0.5553
