PERMNO,date,TICKER,COMNAM,PRC
10333,12/31/1986,XOMA,XOMA CORP,11.87500
10333,01/02/1987,XOMA,XOMA CORP,12.25000
10333,01/05/1987,XOMA,XOMA CORP,12.25000
10333,01/06/1987,XOMA,XOMA CORP,12.00000
10333,01/07/1987,XOMA,XOMA CORP,12.50000
10333,01/08/1987,XOMA,XOMA CORP,12.50000
10333,01/09/1987,XOMA,XOMA CORP,14.75000
10333,01/12/1987,XOMA,XOMA CORP,15.75000
10333,01/13/1987,XOMA,XOMA CORP,15.50000
10333,01/14/1987,XOMA,XOMA CORP,14.25000
10333,01/15/1987,XOMA,XOMA CORP,15.75000
10333,01/16/1987,XOMA,XOMA CORP,15.75000
10333,01/19/1987,XOMA,XOMA CORP,15.00000
10333,01/20/1987,XOMA,XOMA CORP,14.50000
10333,01/21/1987,XOMA,XOMA CORP,14.00000
10333,01/22/1987,XOMA,XOMA CORP,13.75000
10333,01/23/1987,XOMA,XOMA CORP,13.50000
10333,01/26/1987,XOMA,XOMA CORP,13.00000
10333,01/27/1987,XOMA,XOMA CORP,13.50000
10333,01/28/1987,XOMA,XOMA CORP,13.75000
10333,01/29/1987,XOMA,XOMA CORP,14.75000
10333,01/30/1987,XOMA,XOMA CORP,15.50000
10333,02/02/1987,XOMA,XOMA CORP,16.00000
10333,02/03/1987,XOMA,XOMA CORP,15.25000
10333,02/04/1987,XOMA,XOMA CORP,15.75000
10333,02/05/1987,XOMA,XOMA CORP,15.50000
10333,02/06/1987,XOMA,XOMA CORP,15.25000
10333,02/09/1987,XOMA,XOMA CORP,14.50000
10333,02/10/1987,XOMA,XOMA CORP,14.75000
10333,02/11/1987,XOMA,XOMA CORP,15.00000
10333,02/12/1987,XOMA,XOMA CORP,15.25000
10333,02/13/1987,XOMA,XOMA CORP,16.25000
10333,02/17/1987,XOMA,XOMA CORP,17.00000
10333,02/18/1987,XOMA,XOMA CORP,18.00000
10333,02/19/1987,XOMA,XOMA CORP,18.75000
10333,02/20/1987,XOMA,XOMA CORP,18.50000
10333,02/23/1987,XOMA,XOMA CORP,18.25000
10333,02/24/1987,XOMA,XOMA CORP,18.75000
10333,02/25/1987,XOMA,XOMA CORP,21.00000
10333,02/26/1987,XOMA,XOMA CORP,21.00000
10333,02/27/1987,XOMA,XOMA CORP,20.25000
10333,03/02/1987,XOMA,XOMA CORP,20.00000
10333,03/03/1987,XOMA,XOMA CORP,20.50000
10333,03/04/1987,XOMA,XOMA CORP,21.75000
10333,03/05/1987,XOMA,XOMA CORP,22.00000
10333,03/06/1987,XOMA,XOMA CORP,22.00000
10333,03/09/1987,XOMA,XOMA CORP,24.75000
10333,03/10/1987,XOMA,XOMA CORP,25.75000
10333,03/11/1987,XOMA,XOMA CORP,26.75000
10333,03/12/1987,XOMA,XOMA CORP,32.00000
10333,03/13/1987,XOMA,XOMA CORP,31.75000
10333,03/16/1987,XOMA,XOMA CORP,31.00000
10333,03/17/1987,XOMA,XOMA CORP,32.00000
10333,03/18/1987,XOMA,XOMA CORP,29.75000
10333,03/19/1987,XOMA,XOMA CORP,30.00000
10333,03/20/1987,XOMA,XOMA CORP,29.00000
10333,03/23/1987,XOMA,XOMA CORP,26.50000
10333,03/24/1987,XOMA,XOMA CORP,28.50000
10333,03/25/1987,XOMA,XOMA CORP,28.00000
10333,03/26/1987,XOMA,XOMA CORP,28.00000
10333,03/27/1987,XOMA,XOMA CORP,27.00000
10333,03/30/1987,XOMA,XOMA CORP,27.00000
10333,03/31/1987,XOMA,XOMA CORP,28.00000
10333,04/01/1987,XOMA,XOMA CORP,28.25000
10333,04/02/1987,XOMA,XOMA CORP,28.25000
10333,04/03/1987,XOMA,XOMA CORP,28.00000
10333,04/06/1987,XOMA,XOMA CORP,28.50000
10333,04/07/1987,XOMA,XOMA CORP,28.50000
10333,04/08/1987,XOMA,XOMA CORP,28.00000
10333,04/09/1987,XOMA,XOMA CORP,27.50000
10333,04/10/1987,XOMA,XOMA CORP,28.50000
10333,04/13/1987,XOMA,XOMA CORP,27.50000
10333,04/14/1987,XOMA,XOMA CORP,26.50000
10333,04/15/1987,XOMA,XOMA CORP,27.00000
10333,04/16/1987,XOMA,XOMA CORP,29.00000
10333,04/20/1987,XOMA,XOMA CORP,29.00000
10333,04/21/1987,XOMA,XOMA CORP,29.50000
10333,04/22/1987,XOMA,XOMA CORP,31.25000
10333,04/23/1987,XOMA,XOMA CORP,31.50000
10333,04/24/1987,XOMA,XOMA CORP,31.00000
10333,04/27/1987,XOMA,XOMA CORP,30.00000
10333,04/28/1987,XOMA,XOMA CORP,28.00000
10333,04/29/1987,XOMA,XOMA CORP,28.75000
10333,04/30/1987,XOMA,XOMA CORP,28.50000
10333,05/01/1987,XOMA,XOMA CORP,28.50000
10333,05/04/1987,XOMA,XOMA CORP,27.87500
10333,05/05/1987,XOMA,XOMA CORP,27.25000
10333,05/06/1987,XOMA,XOMA CORP,25.00000
10333,05/07/1987,XOMA,XOMA CORP,25.25000
10333,05/08/1987,XOMA,XOMA CORP,25.25000
10333,05/11/1987,XOMA,XOMA CORP,24.50000
10333,05/12/1987,XOMA,XOMA CORP,26.00000
10333,05/13/1987,XOMA,XOMA CORP,26.25000
10333,05/14/1987,XOMA,XOMA CORP,26.75000
10333,05/15/1987,XOMA,XOMA CORP,26.75000
10333,05/18/1987,XOMA,XOMA CORP,26.50000
10333,05/19/1987,XOMA,XOMA CORP,25.00000
10333,05/20/1987,XOMA,XOMA CORP,24.00000
10333,05/21/1987,XOMA,XOMA CORP,24.50000
10333,05/22/1987,XOMA,XOMA CORP,24.50000
10333,05/26/1987,XOMA,XOMA CORP,24.50000
10333,05/27/1987,XOMA,XOMA CORP,22.50000
10333,05/28/1987,XOMA,XOMA CORP,23.50000
10333,05/29/1987,XOMA,XOMA CORP,23.00000
10333,06/01/1987,XOMA,XOMA CORP,20.75000
10333,06/02/1987,XOMA,XOMA CORP,21.50000
10333,06/03/1987,XOMA,XOMA CORP,20.00000
10333,06/04/1987,XOMA,XOMA CORP,20.50000
10333,06/05/1987,XOMA,XOMA CORP,21.00000
10333,06/08/1987,XOMA,XOMA CORP,19.50000
10333,06/09/1987,XOMA,XOMA CORP,20.00000
10333,06/10/1987,XOMA,XOMA CORP,21.00000
10333,06/11/1987,XOMA,XOMA CORP,23.50000
10333,06/12/1987,XOMA,XOMA CORP,23.25000
10333,06/15/1987,XOMA,XOMA CORP,21.00000
10333,06/16/1987,XOMA,XOMA CORP,21.50000
10333,06/17/1987,XOMA,XOMA CORP,21.00000
10333,06/18/1987,XOMA,XOMA CORP,21.00000
10333,06/19/1987,XOMA,XOMA CORP,20.00000
10333,06/22/1987,XOMA,XOMA CORP,20.00000
10333,06/23/1987,XOMA,XOMA CORP,20.00000
10333,06/24/1987,XOMA,XOMA CORP,21.00000
10333,06/25/1987,XOMA,XOMA CORP,21.25000
10333,06/26/1987,XOMA,XOMA CORP,20.50000
10333,06/29/1987,XOMA,XOMA CORP,20.50000
10333,06/30/1987,XOMA,XOMA CORP,20.00000
10333,07/01/1987,XOMA,XOMA CORP,19.00000
10333,07/02/1987,XOMA,XOMA CORP,19.00000
10333,07/06/1987,XOMA,XOMA CORP,18.00000
10333,07/07/1987,XOMA,XOMA CORP,17.75000
10333,07/08/1987,XOMA,XOMA CORP,17.50000
10333,07/09/1987,XOMA,XOMA CORP,18.00000
10333,07/10/1987,XOMA,XOMA CORP,18.50000
10333,07/13/1987,XOMA,XOMA CORP,18.50000
10333,07/14/1987,XOMA,XOMA CORP,18.75000
10333,07/15/1987,XOMA,XOMA CORP,18.50000
10333,07/16/1987,XOMA,XOMA CORP,18.75000
10333,07/17/1987,XOMA,XOMA CORP,19.50000
10333,07/20/1987,XOMA,XOMA CORP,19.50000
10333,07/21/1987,XOMA,XOMA CORP,19.00000
10333,07/22/1987,XOMA,XOMA CORP,19.25000
10333,07/23/1987,XOMA,XOMA CORP,19.00000
10333,07/24/1987,XOMA,XOMA CORP,19.00000
10333,07/27/1987,XOMA,XOMA CORP,19.00000
10333,07/28/1987,XOMA,XOMA CORP,18.75000
10333,07/29/1987,XOMA,XOMA CORP,18.50000
10333,07/30/1987,XOMA,XOMA CORP,18.75000
10333,07/31/1987,XOMA,XOMA CORP,19.50000
10333,08/03/1987,XOMA,XOMA CORP,20.00000
10333,08/04/1987,XOMA,XOMA CORP,19.75000
10333,08/05/1987,XOMA,XOMA CORP,19.75000
10333,08/06/1987,XOMA,XOMA CORP,19.75000
10333,08/07/1987,XOMA,XOMA CORP,20.25000
10333,08/10/1987,XOMA,XOMA CORP,20.25000
10333,08/11/1987,XOMA,XOMA CORP,21.00000
10333,08/12/1987,XOMA,XOMA CORP,21.25000
10333,08/13/1987,XOMA,XOMA CORP,22.00000
10333,08/14/1987,XOMA,XOMA CORP,21.75000
10333,08/17/1987,XOMA,XOMA CORP,21.50000
10333,08/18/1987,XOMA,XOMA CORP,20.75000
10333,08/19/1987,XOMA,XOMA CORP,20.00000
10333,08/20/1987,XOMA,XOMA CORP,21.25000
10333,08/21/1987,XOMA,XOMA CORP,21.25000
10333,08/24/1987,XOMA,XOMA CORP,22.75000
10333,08/25/1987,XOMA,XOMA CORP,21.25000
10333,08/26/1987,XOMA,XOMA CORP,21.50000
10333,08/27/1987,XOMA,XOMA CORP,20.50000
10333,08/28/1987,XOMA,XOMA CORP,20.75000
10333,08/31/1987,XOMA,XOMA CORP,21.50000
10333,09/01/1987,XOMA,XOMA CORP,20.75000
10333,09/02/1987,XOMA,XOMA CORP,20.00000
10333,09/03/1987,XOMA,XOMA CORP,20.25000
10333,09/04/1987,XOMA,XOMA CORP,19.50000
10333,09/08/1987,XOMA,XOMA CORP,19.00000
10333,09/09/1987,XOMA,XOMA CORP,19.50000
10333,09/10/1987,XOMA,XOMA CORP,20.00000
10333,09/11/1987,XOMA,XOMA CORP,20.25000
