PERMNO,date,TICKER,COMNAM,PRC
10333,12/31/1986,XOMA,XOMA CORP,11.87500
10333,01/30/1987,XOMA,XOMA CORP,15.50000
10333,02/27/1987,XOMA,XOMA CORP,20.25000
10333,03/31/1987,XOMA,XOMA CORP,28.00000
10333,04/30/1987,XOMA,XOMA CORP,28.50000
10333,05/29/1987,XOMA,XOMA CORP,23.00000
10333,06/30/1987,XOMA,XOMA CORP,20.00000
10333,07/31/1987,XOMA,XOMA CORP,19.50000
10333,08/31/1987,XOMA,XOMA CORP,21.50000
10333,09/30/1987,XOMA,XOMA CORP,18.75000
10333,10/30/1987,XOMA,XOMA CORP,12.00000
10333,11/30/1987,XOMA,XOMA CORP,9.75000
10333,12/31/1987,XOMA,XOMA CORP,11.75000
10333,01/29/1988,XOMA,XOMA CORP,11.25000
10333,02/29/1988,XOMA,XOMA CORP,12.00000
10333,03/31/1988,XOMA,XOMA CORP,11.75000
10333,04/29/1988,XOMA,XOMA CORP,10.50000
10333,05/31/1988,XOMA,XOMA CORP,10.75000
10333,06/30/1988,XOMA,XOMA CORP,13.25000
10333,07/29/1988,XOMA,XOMA CORP,13.75000
10333,08/31/1988,XOMA,XOMA CORP,15.00000
10333,09/30/1988,XOMA,XOMA CORP,14.50000
10333,10/31/1988,XOMA,XOMA CORP,13.00000
10333,11/30/1988,XOMA,XOMA CORP,12.50000
10333,12/30/1988,XOMA,XOMA CORP,13.25000
10333,01/31/1989,XOMA,XOMA CORP,14.62500
10333,02/28/1989,XOMA,XOMA CORP,14.25000
10333,03/31/1989,XOMA,XOMA CORP,17.00000
10333,04/28/1989,XOMA,XOMA CORP,15.75000
10333,05/31/1989,XOMA,XOMA CORP,17.75000
10333,06/30/1989,XOMA,XOMA CORP,17.00000
10333,07/31/1989,XOMA,XOMA CORP,18.75000
10333,08/31/1989,XOMA,XOMA CORP,20.25000
10333,09/29/1989,XOMA,XOMA CORP,19.25000
10333,10/31/1989,XOMA,XOMA CORP,21.00000
10333,11/30/1989,XOMA,XOMA CORP,21.00000
10333,12/29/1989,XOMA,XOMA CORP,21.75000
10333,01/31/1990,XOMA,XOMA CORP,19.50000
10333,02/28/1990,XOMA,XOMA CORP,20.75000
10333,03/30/1990,XOMA,XOMA CORP,18.75000
10333,04/30/1990,XOMA,XOMA CORP,18.87500
10333,05/31/1990,XOMA,XOMA CORP,24.12500
10333,06/29/1990,XOMA,XOMA CORP,23.00000
10333,07/31/1990,XOMA,XOMA CORP,24.50000
10333,08/31/1990,XOMA,XOMA CORP,18.50000
10333,09/28/1990,XOMA,XOMA CORP,16.50000
10333,10/31/1990,XOMA,XOMA CORP,17.50000
10333,11/30/1990,XOMA,XOMA CORP,18.25000
10333,12/31/1990,XOMA,XOMA CORP,20.50000
10333,01/31/1991,XOMA,XOMA CORP,22.12500
10333,02/28/1991,XOMA,XOMA CORP,30.00000
10333,03/28/1991,XOMA,XOMA CORP,28.75000
10333,04/30/1991,XOMA,XOMA CORP,27.25000
10333,05/31/1991,XOMA,XOMA CORP,31.00000
10333,06/28/1991,XOMA,XOMA CORP,24.50000
10333,07/31/1991,XOMA,XOMA CORP,23.75000
10333,08/30/1991,XOMA,XOMA CORP,23.00000
10333,09/30/1991,XOMA,XOMA CORP,16.12500
10333,10/31/1991,XOMA,XOMA CORP,19.25000
10333,11/29/1991,XOMA,XOMA CORP,17.25000
10333,12/31/1991,XOMA,XOMA CORP,21.00000
10333,01/31/1992,XOMA,XOMA CORP,24.25000
10333,02/28/1992,XOMA,XOMA CORP,24.50000
10333,03/31/1992,XOMA,XOMA CORP,19.50000
10333,04/30/1992,XOMA,XOMA CORP,15.25000
10333,05/29/1992,XOMA,XOMA CORP,20.25000
10333,06/30/1992,XOMA,XOMA CORP,13.50000
10333,07/31/1992,XOMA,XOMA CORP,13.50000
10333,08/31/1992,XOMA,XOMA CORP,11.25000
10333,09/30/1992,XOMA,XOMA CORP,9.50000
10333,10/30/1992,XOMA,XOMA CORP,9.00000
10333,11/30/1992,XOMA,XOMA CORP,10.00000
10333,12/31/1992,XOMA,XOMA CORP,9.62500
10333,01/29/1993,XOMA,XOMA CORP,9.12500
10333,02/26/1993,XOMA,XOMA CORP,8.25000
10333,03/31/1993,XOMA,XOMA CORP,7.50000
10333,04/30/1993,XOMA,XOMA CORP,5.75000
10333,05/28/1993,XOMA,XOMA CORP,5.87500
10333,06/30/1993,XOMA,XOMA CORP,6.87500
10333,07/30/1993,XOMA,XOMA CORP,5.93750
10333,08/31/1993,XOMA,XOMA CORP,6.50000
10333,09/30/1993,XOMA,XOMA CORP,5.62500
10333,10/29/1993,XOMA,XOMA CORP,6.75000
10333,11/30/1993,XOMA,XOMA CORP,5.87500
10333,12/31/1993,XOMA,XOMA CORP,5.25000
10333,01/31/1994,XOMA,XOMA CORP,5.75000
10333,02/28/1994,XOMA,XOMA CORP,4.50000
10333,03/31/1994,XOMA,XOMA CORP,4.12500
10333,04/29/1994,XOMA,XOMA CORP,3.75000
