Date,Treasury (ML),Corporate bonds (ML),US stocks (MSCI),Commodities (GSCI),1M T-bill rate,
12/31/1977,100,138.644,129.353,389.86,0.0644,
1/31/1978,99.849,138.051,121.914,402.43,0.0645,
2/28/1978,100.264,138.388,119.291,408.77,0.0629,
3/31/1978,100.548,139.113,122.298,450.97,0.0629,
4/30/1978,100.657,139.088,133.96,460.66,0.0641,
5/31/1978,100.491,138.069,134.608,495.79,0.0673,
6/30/1978,100.32,138.399,132.576,449.49,0.0701,
7/31/1978,101.246,139.985,140.702,461.74,0.0708,
8/31/1978,102.39,142.706,144.507,474.34,0.0785,
9/30/1978,102.449,142.416,143.978,501.02,0.0799,
10/31/1978,101.249,139.83,131.816,506.05,0.0864,
11/30/1978,102.288,141.409,134.563,519.15,0.0908,
12/31/1978,101.643,139.111,137.066,513.08,0.0935,
1/31/1979,103.499,142.166,143.397,550.09,0.0932,
2/28/1979,103.397,140.969,138.508,582.29,0.0948,
3/31/1979,104.451,142.241,146.444,571.95,0.0946,
4/30/1979,104.561,141.78,146.503,606.17,0.0961,
5/31/1979,106.383,144.407,143.722,577.61,0.0906,
6/30/1979,108.494,147.579,149.302,585.34,0.0924,
7/31/1979,108.371,147.814,151.002,560.91,0.0952,
8/31/1979,107.967,148.039,158.52,625.51,0.1026,
9/30/1979,107.81,145.096,158.296,652.39,0.1170,
10/31/1979,103.09,134.96,148.176,631.74,0.1179,
11/30/1979,106.241,137.091,154.339,675.53,0.1204,
12/31/1979,107.023,136.037,156.871,686.56,0.1200,
1/31/1980,105.234,131.152,166.343,727.92,0.1286,
2/29/1980,99.434,121.505,164.679,721.19,0.1520,
3/31/1980,100.687,121.366,150.127,620.39,0.1320,
4/30/1980,110.536,135.897,156.657,643.38,0.0858,
5/31/1980,114.596,143.169,164.213,682.5,0.0707,
6/30/1980,116.346,147.127,169.553,720.92,0.0806,
7/31/1980,114.561,143.45,180.816,755.15,0.0913,
8/31/1980,111.203,136.728,182.07,767.3,0.1027,
9/30/1980,110.454,134.256,186.663,810.18,0.1162,
10/31/1980,108.898,133.276,191.383,835.6,0.1373,
11/30/1980,109.292,133.939,211.35,824,0.1549,
12/31/1980,112.272,136.768,204.002,762.66,0.1502,
1/31/1981,112.275,135.464,196.434,714.2,0.1479,
2/28/1981,110.647,132.527,200.605,693.47,0.1336,
3/31/1981,113.436,135.632,207.305,692.3,0.1369,
4/30/1981,110.774,129.005,203.476,682.85,0.1630,
5/31/1981,114.543,134.442,202.915,686.55,0.1473,
6/30/1981,114.256,134.977,202.518,642.93,0.1495,
7/31/1981,112.155,131.593,204.017,672.16,0.1551,
8/31/1981,110.98,127.734,192.382,650.09,0.1470,
9/30/1981,111.622,125.768,183.347,649.26,0.1354,
10/31/1981,117.37,132.123,192.458,651.22,0.1086,
11/30/1981,126.515,146.999,200.892,621.87,0.1085,
12/31/1981,123.422,139.908,195.58,587.18,0.1228,
1/31/1982,123.489,139.793,193.369,634.12,0.1348,
2/28/1982,125.831,142.381,183.389,619.87,0.1268,
3/31/1982,126.872,144.454,182.399,642.99,0.1270,
